Pid,Title,Category,Subcategory,weekday,hour,image,label
160933,"Foto Agne Sterberg, AGMA Forntid & ventyr AB, Destination Hga Kusten, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,0,9,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/160933.jpg,5.58
160963,"Foto Agne Sterberg, AGMA Forntid & ventyr AB, Destination Hga Kusten, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,0,9,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/160963.jpg,5.46
163223,"Foto Agne Sterberg, Destination Hga Kusten, AGMA Forntid & ventyr AB, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,1,8,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/163223.jpg,5.98
164002,"Foto Agne Sterberg, AGMA Forntid & ventyr AB, Destination Hga Kusten, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,0,9,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/164002.jpg,5.46
164003,"Foto Agne Sterberg, AGMA Forntid & ventyr AB, Destination Hga Kusten, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,1,21,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/164003.jpg,5.43
164389,"Foto Agne Sterberg, AGMA Forntid & ventyr AB, Destination Hga Kusten, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,1,22,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/164389.jpg,5.36
164390,"Foto Agne Sterberg, AGMA Forntid & ventyr AB, Destination Hga Kusten, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,1,22,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/164390.jpg,5.32
164391,"Foto Agne Sterberg, AGMA Forntid & ventyr AB, Destination Hga Kusten, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,1,21,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/164391.jpg,5.46
164419,"Foto Agne Sterberg, AGMA Forntid & ventyr AB, Destination Hga Kusten, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,0,9,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/164419.jpg,5.64
164420,"Foto Agne Sterberg, AGMA Forntid & ventyr AB, Destination Hga Kusten, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,0,8,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/164420.jpg,5.52
166628,Sun in White LIght,Whether&Season,Sunny,1,22,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25304@N43/166628.jpg,9.17
166713,Foggy morning on Bolinas Ridge,Animal,Fish,5,1,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25322@N90/166713.jpg,9.67
167186,M101 Pinwheel Galaxy,Whether&Season,Sunny,5,19,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25304@N43/167186.jpg,9.78
167988,Sun in White Light (Colourised,Whether&Season,Sunny,5,0,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25304@N43/167988.jpg,9.45
170340,Repeat / Repetition   *Explored*,Entertainment,Music,5,5,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25822@N52/170340.jpg,13.03
170709,Femmes_De_Circus_0115,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170709.jpg,5.0
170710,Femmes_De_Circus_0111,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170710.jpg,5.0
170711,Femmes_De_Circus_0059,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170711.jpg,5.17
170712,Femmes_De_Circus_0052,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170712.jpg,5.32
170713,Femmes_De_Circus_0133,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170713.jpg,5.0
170714,Femmes_De_Circus_0126,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170714.jpg,5.0
170715,Femmes_De_Circus_0118,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170715.jpg,5.04
170716,Femmes_De_Circus_0083,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170716.jpg,5.09
170717,Femmes_De_Circus_0038,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170717.jpg,5.39
170718,Femmes_De_Circus_0021,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170718.jpg,5.25
170719,Femmes_De_Circus_0016,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170719.jpg,5.58
170720,Femmes_De_Circus_0014,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170720.jpg,5.25
170721,Femmes_De_Circus_0005,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170721.jpg,5.32
170722,Femmes_De_Circus_0169,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170722.jpg,4.91
170723,Femmes_De_Circus_0168,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170723.jpg,4.91
170724,Femmes_De_Circus_0154,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170724.jpg,5.0
170725,Femmes_De_Circus_0140,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170725.jpg,4.86
170726,Femmes_De_Circus_0265,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170726.jpg,5.0
170728,Femmes_De_Circus_0255,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170728.jpg,5.0
170729,Femmes_De_Circus_0236,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170729.jpg,4.91
170730,Femmes_De_Circus_0219,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170730.jpg,5.0
170731,Femmes_De_Circus_0210,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170731.jpg,5.0
170732,Femmes_De_Circus_0201,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170732.jpg,5.09
170733,Femmes_De_Circus_0189,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170733.jpg,4.91
170735,Femmes_De_Circus_0171,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170735.jpg,5.09
170736,Femmes_De_Circus_0164,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170736.jpg,5.0
170737,Femmes_De_Circus_0147,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170737.jpg,5.04
170738,Femmes_De_Circus_0145,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170738.jpg,4.95
170739,Femmes_De_Circus_0141,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170739.jpg,4.95
170753,Femmes_De_Circus_0107,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170753.jpg,5.17
170754,Femmes_De_Circus_0065,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170754.jpg,5.17
170755,Femmes_De_Circus_0062,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170755.jpg,5.13
170756,Femmes_De_Circus_0050,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170756.jpg,5.58
170757,Femmes_De_Circus_0031,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170757.jpg,5.25
170758,Femmes_De_Circus_0116,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170758.jpg,4.95
170759,Femmes_De_Circus_0103,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170759.jpg,4.86
170760,Femmes_De_Circus_0085,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170760.jpg,5.09
170761,Femmes_De_Circus_0073,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170761.jpg,5.17
170762,Femmes_De_Circus_0045,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170762.jpg,5.36
170763,Femmes_De_Circus_0025,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170763.jpg,5.29
170764,Femmes_De_Circus_0022,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170764.jpg,5.32
170765,Femmes_De_Circus_0020,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170765.jpg,5.25
170770,Femmes_De_Circus_0159,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170770.jpg,4.95
170771,Femmes_De_Circus_0142,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170771.jpg,4.95
170772,Femmes_De_Circus_0261,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170772.jpg,4.86
170773,Femmes_De_Circus_0259,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170773.jpg,4.91
170774,Femmes_De_Circus_0246,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170774.jpg,4.95
170775,Femmes_De_Circus_0238,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170775.jpg,5.04
170776,Femmes_De_Circus_0230,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170776.jpg,4.91
170777,Femmes_De_Circus_0223,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170777.jpg,5.04
170778,Femmes_De_Circus_0197,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170778.jpg,5.09
170779,Femmes_De_Circus_0193,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170779.jpg,5.17
170816,Femmes_De_Circus_0158,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170816.jpg,5.0
170817,Femmes_De_Circus_0156,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170817.jpg,4.91
170818,Femmes_De_Circus_0152,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/170818.jpg,4.91
171777,Sea Horse,Animal,Fish,3,7,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25973@N28/171777.jpg,12.11
172480,Pads,Travel&Active&Sports,Football,5,7,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/26049@N56/172480.jpg,5.17
172481,Lilly Heart,Travel&Active&Sports,Football,5,7,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/26049@N56/172481.jpg,4.95
174410,Femmes_De_Circus_0113,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174410.jpg,4.95
174411,Femmes_De_Circus_0087,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174411.jpg,5.0
174412,Femmes_De_Circus_0070,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174412.jpg,5.13
174413,Femmes_De_Circus_0134,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174413.jpg,5.0
174414,Femmes_De_Circus_0105,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174414.jpg,4.81
174415,Femmes_De_Circus_0100,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174415.jpg,5.09
174416,Femmes_De_Circus_0089,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174416.jpg,4.95
174417,Femmes_De_Circus_0063,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174417.jpg,5.13
174418,Femmes_De_Circus_0058,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174418.jpg,5.25
174419,Femmes_De_Circus_0039,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174419.jpg,5.32
174420,Femmes_De_Circus_0034,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174420.jpg,5.55
174421,Femmes_De_Circus_0013,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174421.jpg,5.25
174422,Femmes_De_Circus_0009,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174422.jpg,5.39
174423,Femmes_De_Circus_0004,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174423.jpg,5.36
174424,Femmes_De_Circus_0003,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174424.jpg,5.29
174426,Femmes_De_Circus_0130,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174426.jpg,5.04
174427,Femmes_De_Circus_0129,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174427.jpg,5.09
174428,Femmes_De_Circus_0264,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174428.jpg,4.86
174429,Femmes_De_Circus_0260,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174429.jpg,4.91
174430,Femmes_De_Circus_0258,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174430.jpg,4.91
174431,Femmes_De_Circus_0095,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174431.jpg,5.0
174432,Femmes_De_Circus_0069,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174432.jpg,5.09
174433,Femmes_De_Circus_0068,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174433.jpg,5.09
174436,Femmes_De_Circus_0054,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174436.jpg,5.25
174437,Femmes_De_Circus_0049,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174437.jpg,5.32
174438,Femmes_De_Circus_0032,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174438.jpg,5.21
174439,Femmes_De_Circus_0104,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174439.jpg,4.81
174440,Femmes_De_Circus_0071,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174440.jpg,5.13
174441,Femmes_De_Circus_0043,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174441.jpg,5.36
174442,Femmes_De_Circus_0028,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174442.jpg,5.29
174443,Femmes_De_Circus_0254,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174443.jpg,5.09
174444,Femmes_De_Circus_0018,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174444.jpg,5.21
174445,Femmes_De_Circus_0001,Travel&Active&Sports,Cheerleading,4,11,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174445.jpg,5.52
174446,Femmes_De_Circus_0245,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174446.jpg,4.86
174447,Femmes_De_Circus_0239,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174447.jpg,4.95
174448,Femmes_De_Circus_0237,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174448.jpg,4.81
174449,Femmes_De_Circus_0233,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174449.jpg,4.95
174450,Femmes_De_Circus_0217,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174450.jpg,5.04
174451,Femmes_De_Circus_0216,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174451.jpg,4.91
174452,Femmes_De_Circus_0206,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174452.jpg,5.04
174453,Femmes_De_Circus_0173,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174453.jpg,5.21
174456,Femmes_De_Circus_0165,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174456.jpg,5.0
174457,Femmes_De_Circus_0150,Travel&Active&Sports,Cheerleading,4,12,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/25857@N69/174457.jpg,4.95
